CROWD DETECTION ANALYSIS SUMMARY
Analysis Time,2025-10-15T15:30:28.490761
Total Frames,310
Processed Frames,31
Crowd Events,13
Max Crowd Size,55
Average Crowd Size,21.35
High Density Alerts,4
Video Duration,10.34
Video Resolution,1920x1080
FPS,29.97

FRAME-BY-FRAME ANALYSIS
Frame,Timestamp,People Count,Density Level,Movement Intensity,Zone A,Zone B,Zone C
0,0.0,25,Low,0.45,13,2,0
6,0.2,8,High,0.53,17,4,21
12,0.4,44,High,0.7,0,15,16
18,0.6,17,High,0.04,7,9,2
24,0.8,4,Low,0.84,12,12,25
30,1.0,1,High,0.67,5,14,21
36,1.2,2,High,0.87,4,13,16
42,1.4,45,Low,0.11,0,1,18
48,1.6,32,High,0.47,2,0,17
54,1.8,21,Medium,0.97,14,3,10
60,2.0,17,High,0.01,2,12,5
66,2.2,34,High,0.43,14,9,23
72,2.4,36,Medium,0.94,17,14,19
78,2.6,35,High,0.46,7,15,20
84,2.8,31,High,0.11,15,14,9
90,3.0,29,High,0.78,11,15,24
96,3.2,5,Medium,0.4,20,14,1
102,3.4,44,Medium,0.43,6,0,16
108,3.6,9,High,0.23,7,12,6
114,3.8,16,High,0.05,5,8,11
120,4.0,14,High,0.71,0,7,14
126,4.2,9,Low,0.68,1,14,14
132,4.4,4,High,0.55,6,2,15
138,4.6,35,High,0.85,19,5,18
144,4.8,18,High,0.2,19,2,25
150,5.0,11,Medium,0.14,0,12,13
156,5.2,50,Medium,0.06,18,13,14
162,5.4,31,Medium,0.56,3,1,25
168,5.6,13,High,0.47,9,8,9
174,5.8,38,Low,0.87,16,8,20
180,6.0,14,Medium,0.52,19,4,12
186,6.2,13,Low,0.69,19,15,3
192,6.4,0,Medium,0.31,11,5,25
198,6.6,0,Low,0.63,16,11,16
204,6.8,10,High,0.33,1,11,16
210,7.0,33,Medium,0.1,13,11,3
216,7.2,38,High,0.2,13,5,21
222,7.4,29,High,0.63,13,1,8
228,7.6,49,High,0.94,19,6,17
234,7.8,35,Low,0.61,9,2,18
240,8.0,5,Low,0.78,15,11,3
246,8.2,40,Medium,0.49,20,6,0
252,8.4,7,Medium,0.03,12,10,23
258,8.6,33,High,0.97,3,7,5
264,8.8,3,Medium,0.89,15,4,24
270,9.0,37,Medium,0.94,1,11,22
276,9.2,26,Low,0.19,18,10,5
282,9.4,12,High,0.81,6,13,11
288,9.6,27,Medium,0.99,19,15,18
294,9.8,46,Low,0.13,6,13,10
300,10.0,17,Medium,0.53,13,6,21
306,10.2,9,High,0.46,4,7,4

RECOMMENDATIONS
Monitor high-density areas closely
Consider crowd control measures
Review entry/exit points
